OBJECTID,Date,Species,Count,Repeat_Observation,Substrate,,,Notes,,,Activity,GlobalID,CreationDate,Creator,EditDate,Editor,,x,y
91,2017-10-30,Western Meadowlark,2,No,Habitat Feature - Snag,,,,,,Resting/Roosting,a08692df-6aa0-4d8e-b0a9-dcfcfc4b2a94,10/30/2017 3:50:48 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:50:48 PM,clark@ccber.ucsb.edu_ucsb,,-119.8791644,34.41882728
92,2017-10-30,California Towhee,1,No,Vegetation - Tree,,,,,,Foraging/Hunting,b5fd2f78-4f0b-4f75-b693-a1bdd7713898,10/30/2017 3:52:17 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:52:17 PM,clark@ccber.ucsb.edu_ucsb,,-119.8799692,34.41775869
93,2017-10-30,House Finch,4,No,Vegetation - Shrub,,,,,,Foraging/Hunting,20c239f9-d18b-4489-a849-1f7bf6d330c1,10/30/2017 3:52:52 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:52:52 PM,clark@ccber.ucsb.edu_ucsb,,-119.880324,34.41780486
94,2017-10-30,Mourning Dove,3,No,Fence,,,,,,Resting/Roosting,cb2f754c-f371-4d2d-a536-0f52af512805,10/30/2017 3:55:46 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:55:46 PM,clark@ccber.ucsb.edu_ucsb,,-119.8806574,34.41852184
95,2017-10-30,Black Phoebe,1,No,Fence,,,,,,Resting/Roosting,e0273d21-674c-457f-9eb1-af8a839b6666,10/30/2017 3:56:17 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:56:17 PM,clark@ccber.ucsb.edu_ucsb,,-119.8809169,34.41878898
96,2017-10-30,,1,No,Vegetation - Tree,,,kite,,,Resting/Roosting,926937e5-8b71-4983-b53f-cc4ec045b5ac,10/30/2017 4:00:33 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:00:33 PM,clark@ccber.ucsb.edu_ucsb,,-119.8810931,34.4183038
97,2017-10-30,Red-tailed Hawk,1,No,Habitat Feature - Snag,,,,,,Resting/Roosting,2ee34eb9-cf34-466c-99cd-dc9efc2da10d,10/30/2017 4:03:34 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:03:34 PM,clark@ccber.ucsb.edu_ucsb,,-119.8803811,34.4202347
98,2017-10-30,Rock Dove,40,No,Bare ground,,,hydroseed,,,Foraging/Hunting,3181b539-235c-47a0-9a35-f00a6a659a4e,10/30/2017 4:05:10 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:05:10 PM,clark@ccber.ucsb.edu_ucsb,,-119.8809075,34.42089186
99,2017-10-30,Mourning Dove,13,No,Habitat Feature - Hibernacula,,,,,,Resting/Roosting,1fee7380-94c3-4410-b96c-24376d6c8de7,10/30/2017 4:05:52 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:05:52 PM,clark@ccber.ucsb.edu_ucsb,,-119.8800051,34.42005017
100,2017-10-30,Red-tailed Hawk,1,Yes,Building,,,,,,,d6cf3c94-05f9-4314-80c1-f30967c8ebac,10/30/2017 4:07:03 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:07:03 PM,clark@ccber.ucsb.edu_ucsb,,-119.8800955,34.42166479
101,2017-10-30,Western Meadowlark,9,No,Bare ground,,,hydroseed,,,Resting/Roosting,144121f0-1639-4039-9e4a-c44fa8b53ab8,10/30/2017 4:11:19 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:11:19 PM,clark@ccber.ucsb.edu_ucsb,,-119.8781882,34.41977517
102,2017-10-30,Anna's Hummingbird,1,No,Vegetation - Tree,,,display,,,,19bcb2c4-b7ad-4288-a3f2-3a8b8aec5756,10/30/2017 4:15:16 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:15:16 PM,clark@ccber.ucsb.edu_ucsb,,-119.8778144,34.41955321
103,2017-10-30,White-crowned Sparrow,5,No,Bare ground,,,,,,Foraging/Hunting,6127e6e7-513a-474c-99c6-66e8e746ac44,10/30/2017 4:15:51 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:15:51 PM,clark@ccber.ucsb.edu_ucsb,,-119.8771476,34.41921731
104,2017-10-30,Western Meadowlark,10,Yes,Habitat Feature - Log,,,,,,Resting/Roosting,d287e1da-db59-48e5-b51e-eaee232471d5,10/30/2017 4:25:14 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:25:14 PM,clark@ccber.ucsb.edu_ucsb,,-119.8790335,34.42039687
105,2017-10-30,Common Yellowthroat,1,No,Vegetation - Herbaceous,,,,,,Resting/Roosting,c8702657-4523-4712-95e2-ac11f370828c,10/30/2017 4:32:58 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:32:58 PM,clark@ccber.ucsb.edu_ucsb,,-119.8793911,34.42089235
106,2017-10-30,Red-tailed Hawk,2,No,Other,,,aerial,,,,73c681b2-f02c-42d0-9a3d-25b66fce085b,10/30/2017 4:34:27 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:34:27 PM,clark@ccber.ucsb.edu_ucsb,,-119.8806328,34.419317
107,2017-10-30,Common Yellowthroat,2,No,Vegetation - Herbaceous,,,,,,Resting/Roosting,f8674051-213d-41eb-94df-3e810340d3ca,10/30/2017 4:35:45 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:35:45 PM,clark@ccber.ucsb.edu_ucsb,,-119.8797875,34.42125475
108,2017-10-30,House Finch,6,No,Vegetation - Tree,,,,,,Resting/Roosting,e1108c46-c261-49d8-b0ba-89f1f2d0195f,10/30/2017 4:36:58 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:36:58 PM,clark@ccber.ucsb.edu_ucsb,,-119.8805248,34.42137453
109,2017-10-30,Anna's Hummingbird,1,No,Vegetation - Tree,,,,,,Resting/Roosting,b7878499-e1f4-49de-b9c4-feba9771c0b9,10/30/2017 4:37:56 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:37:56 PM,clark@ccber.ucsb.edu_ucsb,,-119.8806486,34.42135882
110,2017-10-30,Song Sparrow,2,No,Vegetation - Tree,,,,,,Resting/Roosting,42c2bf02-279a-4512-a1cb-39e04eeb9a94,10/30/2017 4:38:47 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:38:47 PM,clark@ccber.ucsb.edu_ucsb,,-119.8806701,34.42139811
111,2017-10-30,White-crowned Sparrow,2,No,Vegetation - Tree,,,,,,Resting/Roosting,52a8b138-8bc4-48fd-aec8-651f0b61bb7f,10/30/2017 4:39:41 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:39:41 PM,clark@ccber.ucsb.edu_ucsb,,-119.8806189,34.42137748
112,2017-10-30,White-crowned Sparrow,2,No,Bare ground,,,,,,Foraging/Hunting,83151fc0-36b5-42e1-a790-be7f97774859,10/30/2017 4:40:20 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:40:20 PM,clark@ccber.ucsb.edu_ucsb,,-119.8802212,34.4213765
113,2017-10-30,Mourning Dove,16,No,Vegetation - Tree,,,,,,Resting/Roosting,46496ff2-43fb-42b8-a61f-0e6bdc981d29,10/30/2017 4:42:22 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:44:18 PM,clark@ccber.ucsb.edu_ucsb,,-119.8820961,34.42094119
114,2017-10-30,Black Phoebe,1,No,Vegetation - Herbaceous,,,,,,Resting/Roosting,ac393536-e39f-4b56-ac67-ff0b166a6a44,10/30/2017 4:49:09 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:49:09 PM,clark@ccber.ucsb.edu_ucsb,,-119.8835994,34.42120649
115,2017-10-30,Western Meadowlark,1,No,Bare ground,,,,,,Resting/Roosting,8a712735-bea8-4d22-8b1c-8b8f155721f4,10/30/2017 4:50:51 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:50:51 PM,clark@ccber.ucsb.edu_ucsb,,-119.8838636,34.42106214
116,2017-10-30,American Kestrel,1,No,Building,,,,,,Foraging/Hunting,55aaa1e0-2345-48e9-8df1-f0194c97d4f6,10/30/2017 4:55:27 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:55:27 PM,clark@ccber.ucsb.edu_ucsb,,-119.8838567,34.42209967
117,2017-10-30,Blue-gray Gnatcatcher,1,No,Vegetation - Shrub,,,,,,Resting/Roosting,db588bd9-7c32-4980-bd4e-1e70b3ad9fae,10/30/2017 4:56:59 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:56:59 PM,clark@ccber.ucsb.edu_ucsb,,-119.8839636,34.4218557
118,2017-10-30,House Finch,8,No,Vegetation - Shrub,,,,,,Foraging/Hunting,4657f1f4-0b60-4bfd-8b5a-e89241f78045,10/30/2017 4:58:01 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:58:01 PM,clark@ccber.ucsb.edu_ucsb,,-119.883847,34.42184686
119,2017-10-30,Song Sparrow,1,No,Vegetation - Shrub,,,,,,,c415e13b-a3fa-4e16-8945-539fd29adac9,10/30/2017 4:58:45 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:58:45 PM,clark@ccber.ucsb.edu_ucsb,,-119.8841041,34.42166517
120,2017-10-30,Anna's Hummingbird,1,No,Other,,,air,,,Resting/Roosting,e869e83b-eaa5-4c8c-9a19-239ea91c709e,10/30/2017 4:59:56 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:59:56 PM,clark@ccber.ucsb.edu_ucsb,,-119.8840162,34.42173109
121,2017-10-30,American Kestrel,1,Yes,Vegetation - Tree,,,,,,Resting/Roosting,69a46d31-7466-4d32-97d4-3867b755d853,10/30/2017 5:03:35 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:03:35 PM,clark@ccber.ucsb.edu_ucsb,,-119.8821214,34.42091299
