OBJECTID,Date,Time,Common Name,Scientific Name,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Observers,x,y,GlobalID
131,8/14/2019,8:50,Black Phoebe,Sayornis nigricans,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8782955,34.42107242,c6a60a39-508a-469e-a846-f6b04d6144f3
132,8/14/2019,8:51,Savannah Sparrow (Belding's),Passerculus sandwichensis beldingi,4,No,Bare ground,,,,"EAST: Mark, Lisa, Steven",-119.8780186,34.42115805,b66eee8d-a287-43cc-a247-4197dd195d38
133,8/14/2019,8:54,Downy Woodpecker,Dryobates pubescens,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8775281,34.421467,862fe53b-4e7b-4635-9f9b-44a3dddaf394
134,8/14/2019,8:58,Cooper's Hawk,Accipiter cooperii,1,Yes,Fence,,,Changed repeat observation to Yes after post-survey review.,"EAST: Mark, Lisa, Steven",-119.8775743,34.42018782,1e5820fb-4e26-4b10-90f3-6701d9c6442a
135,8/14/2019,8:59,Killdeer,Charadrius vociferus,15,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.878802,34.42064817,3918e6ea-aa34-435b-9825-8b17b25ac087
136,8/14/2019,9:01,Common Yellowthroat,Geothlypis trichas,1,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8781064,34.42153675,a08c86c4-e718-4e99-bda2-870b75c77559
137,8/14/2019,9:02,Green Heron,Butorides virescens,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8788851,34.42155602,1785fc34-9b66-4196-af6c-500191a564dd
138,8/14/2019,9:03,Wrentit,Chamaea fasciata,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8786755,34.42205171,c67ee5f7-5a20-481e-bc58-59638372c044
139,8/14/2019,9:07,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8786392,34.42164559,83de2cb5-138e-480f-800d-6e8e8529cbbc
140,8/14/2019,9:10,House Finch,Haemorhous mexicanus,2,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8794386,34.42129016,948cd020-911e-48fb-b9a3-8c3ca3601ff6
141,8/14/2019,9:13,Cliff Swallow,Petrochelidon pyrrhonota,4,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8797553,34.42136938,25ed0b0b-0050-49e0-b8e1-5fb86c4d3f0e
142,8/14/2019,9:13,Song Sparrow,Melospiza melodia,4,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8796489,34.42132656,bec33e2f-e1fa-43db-adde-b7761259579b
143,8/14/2019,9:14,Barn Swallow,Hirundo rustica,2,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8792647,34.4212923,6a836028-4d20-42fd-90b2-1703a3de80f5
144,8/14/2019,9:15,Anna's Hummingbird,Calypte anna,2,No,Building,,,,"EAST: Mark, Lisa, Steven",-119.8794101,34.42173552,e623529b-7110-44be-8034-1433204a5c8c
145,8/14/2019,9:18,Hooded Oriole,Icterus cucullatus,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8806923,34.42205026,922365c7-caf4-4ac6-9e39-31d761bce63d
146,8/14/2019,9:19,Mourning Dove,Zenaida macroura,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8808221,34.42212949,126be653-f26c-42ac-aefe-5a336f465e30
147,8/14/2019,9:20,Cooper's Hawk,Accipiter cooperii,1,Yes,Other,,,On light pole. Changed repeat observation to Yes after post-survey review.,"EAST: Mark, Lisa, Steven",-119.8812062,34.42244851,5bcb7712-f6c5-4c08-9f27-3a4ba6e9c49c
148,8/14/2019,9:21,Black Phoebe,Sayornis nigricans,1,No,Fence,,,,"EAST: Mark, Lisa, Steven",-119.8818084,34.42135868,35195c41-1061-4a47-a920-f090ce1f2446
149,8/14/2019,9:51,Least Sandpiper,Calidris minutilla,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8742397,34.42074449,a55487f5-cbd4-4063-bb13-8dfdc39adb05
150,8/14/2019,9:52,Western Gull,Larus occidentalis,1,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8742197,34.42088843,9a90f737-a8a0-4106-85e0-cfad4ff25dcf
151,8/14/2019,9:53,Western Sandpiper,Calidris mauri,2,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8749024,34.42102118,9a2eac95-2eb8-4b43-8645-282ff20d4f1e
152,8/14/2019,9:54,Least Sandpiper,Calidris minutilla,9,No,,,,,"EAST: Mark, Lisa, Steven",-119.8762469,34.41918619,7216278f-a5e0-4cad-943f-ca32b7af307e
153,8/14/2019,9:56,Ash-throated Flycatcher,Myiarchus cinerascens,1,No,Fence,,,,"EAST: Mark, Lisa, Steven",-119.8743839,34.41979241,3e0222a8-0081-42eb-86c9-11361d7d6000
